ENSEMBL_GENE	SYMBOL	ENSEMBL_PROTEIN	ENSEMBL_TRANSCRIPT
ENSG00000108375	RNF43	ENSP00000463069	ENST00000584437
ENSG00000141367	CLTC	ENSP00000479606	ENST00000621829
ENSG00000170836	PPM1D	ENSP00000306682	ENST00000305921
ENSG00000007312	CD79B	ENSP00000376544	ENST00000392795
ENSG00000108854	SMURF2	ENSP00000262435	ENST00000262435
ENSG00000120063	GNA13	ENSP00000400717	ENST00000439174
ENSG00000168646	AXIN2	ENSP00000302625	ENST00000307078
ENSG00000108946	PRKAR1A	ENSP00000376475	ENST00000392711
ENSG00000125398	SOX9	ENSP00000245479	ENST00000245479
ENSG00000161547	SRSF2	ENSP00000376276	ENST00000392485
ENSG00000171302	CANT1	ENSP00000307674	ENST00000302345
ENSG00000173821	RNF213	ENSP00000464087	ENST00000582970
ENSG00000141579	ZNF750	ENSP00000269394	ENST00000269394
ENSG00000177426	TGIF1	ENSP00000483499	ENST00000618001
ENSG00000198795	ZNF521	ENSP00000354794	ENST00000361524
ENSG00000152217	SETBP1	ENSP00000497406	ENST00000649279
ENSG00000175387	SMAD2	ENSP00000262160	ENST00000262160
ENSG00000141646	SMAD4	ENSP00000341551	ENST00000342988
ENSG00000187323	DCC	ENSP00000389140	ENST00000442544
ENSG00000196628	TCF4	ENSP00000381382	ENST00000398339
ENSG00000171791	BCL2	ENSP00000381185	ENST00000398117
ENSG00000119537	KDSR	ENSP00000494352	ENST00000645214
ENSG00000118046	STK11	ENSP00000324856	ENST00000326873
ENSG00000104885	DOT1L	ENSP00000381657	ENST00000398665
ENSG00000088256	GNA11	ENSP00000078429	ENST00000078429
ENSG00000130382	MLLT1	ENSP00000252674	ENST00000252674
ENSG00000090659	CD209	ENSP00000315477	ENST00000315599
ENSG00000076984	MAP2K7	ENSP00000381070	ENST00000397983
ENSG00000079999	KEAP1	ENSP00000377245	ENST00000393623
ENSG00000127616	SMARCA4	ENSP00000395654	ENST00000429416
ENSG00000196466	ZNF799	ENSP00000411084	ENST00000430385
ENSG00000141867	BRD4	ENSP00000263377	ENST00000263377
ENSG00000105639	JAK3	ENSP00000391676	ENST00000458235
ENSG00000105656	ELL	ENSP00000262809	ENST00000262809
ENSG00000105662	CRTC1	ENSP00000345001	ENST00000338797
ENSG00000213999	MEF2B	ENSP00000402154	ENST00000424583
ENSG00000184635	ZNF93	ENSP00000342002	ENST00000343769
ENSG00000213988	ZNF90	ENSP00000410466	ENST00000418063
ENSG00000188171	ZNF626	ENSP00000469958	ENST00000601440
ENSG00000197013	ZNF429	ENSP00000351280	ENST00000358491
ENSG00000160321	ZNF208	ENSP00000380315	ENST00000397126
ENSG00000105173	CCNE1	ENSP00000262643	ENST00000262643
ENSG00000131941	RHPN2	ENSP00000254260	ENST00000254260
ENSG00000245848	CEBPA	ENSP00000427514	ENST00000498907
ENSG00000257103	LSM14A	ENSP00000446271	ENST00000544216
ENSG00000272333	KMT2B	ENSP00000398837	ENST00000420124
ENSG00000275395	FCGBP	ENSP00000481056	ENST00000616721
ENSG00000197782	ZNF780A	ENSP00000400997	ENST00000455521
ENSG00000028277	POU2F2	ENSP00000431603	ENST00000526816
ENSG00000079432	CIC	ENSP00000458663	ENST00000575354
ENSG00000104884	ERCC2	ENSP00000375809	ENST00000391945
ENSG00000105287	PRKD2	ENSP00000393978	ENST00000433867
ENSG00000160007	ARHGAP35	ENSP00000500409	ENST00000672722
ENSG00000126453	BCL2L12	ENSP00000482218	ENST00000616144
ENSG00000062822	POLD1	ENSP00000472445	ENST00000595904
ENSG00000105568	PPP2R1A	ENSP00000324804	ENST00000322088
ENSG00000130844	ZNF331	ENSP00000253144	ENST00000253144
ENSG00000088038	CNOT3	ENSP00000351159	ENST00000358389
ENSG00000063244	U2AF2	ENSP00000307863	ENST00000308924
ENSG00000198300	PEG3	ENSP00000326581	ENST00000326441
ENSG00000204514	ZNF814	ENSP00000410545	ENST00000435989
ENSG00000171606	ZNF274	ENSP00000484810	ENST00000617501
